time,x,y,z,debris_1,debris_2,debris_3,debris_4,debris_5,debris_6,debris_7,debris_8,debris_9,debris_10
0.0,4.3341086655588643e-13,985.0862196409336,-7009.252661171024,13926.578508569386,12426.813185646557,6682.0249757957035,6312.219658719573,11488.440835188861,13502.130843708372,9882.751493675622,13021.894333243548,2769.3796041743567,533.4562108495468
10.027855153203342,75.25048245711554,985.0305475903396,-7008.856533947845,13931.362481936396,12418.412286997274,6608.634833105471,6398.93593499741,11558.151108266715,13465.689434692351,9980.42187338038,13066.107768819194,2714.788724806098,504.4464354909669
20.055710306406684,150.49245936703477,984.8635377311587,-7007.668197052489,13935.505866998858,12409.854635667509,6535.219502200522,6486.1207113383825,11626.767135028405,13427.793883814176,10077.309447819584,13109.043014916235,2661.1247555362315,479.15239501870104
30.08356545961003,225.71742614394418,984.5852089404821,-7005.6877848024415,13939.007362501457,12401.143780168835,6461.811881801621,6573.716717185134,11694.27742525842,13388.449050794938,10173.39340123974,13150.69327275214,2608.469906683616,458.202150860396
40.11142061281337,300.91688012467705,984.1955926777583,-7002.915521043308,13941.86586955008,12392.283339862113,6388.445997667432,6661.66891119503,11760.67075895802,13347.659988137177,10268.653458191266,13191.051971227882,2556.9110533639787,442.22354625358327
50.13927576601671,376.0823215297778,983.6947329812365,-6999.351719123514,13944.080491566854,12383.277003865309,6315.157051295513,6749.92438529483,11825.936181695663,13305.43194136449,10363.069861753722,13230.112765394859,2506.53984852471,431.77642800225857
60.16713091922006,451.2052544242238,983.0826864629896,-6994.996781858889,13945.650534253291,12374.12852992927,6241.981470202844,6838.432270486717,11890.063000237868,13261.770349287479,10456.62335320065,13267.869535013235,2457.4527863343146,427.2715715910257
70.19498607242339,526.2771876777227,982.3595223025151,-6989.851201487135,13946.57550556155,12364.841743280902,6168.956959673918,6927.143644895093,11953.04077844328,13216.68084429839,10549.295153004092,13304.316383196889,2409.7512014857994,428.8982988970037
80.22284122562674,601.2896359244585,981.525322238915,-6983.915559612185,13946.855115674,12355.420535433557,6096.122555827876,7016.011444432203,12014.859333404052,13170.169252696893,10641.066943086202,13339.447635140436,2363.5411879857797,436.58735532029397
90.25069637883009,676.2341205221935,980.5801805616583,-6977.1905271384685,13946.489276991184,12345.868862964213,6023.518679813164,7104.990376366068,12075.508731819547,13122.241595049638,10731.92085023199,13373.257836924107,2318.9334191980406,450.024767443842
100.27855153203342,751.1021705106111,979.5242040999226,-6969.676864195084,13945.478104128142,12336.19074625718,5951.187192888823,7194.036835994045,12134.97928658833,13072.904086586459,10821.839430583552,13405.741754392424,2276.0428495051247,468.71065911228953
110.30640668523677,825.8853235687835,978.3575122105186,-6961.375420049868,13943.82191391921,12326.390268213956,5879.171452094503,7283.108826558413,12193.261553605373,13022.163137636187,10910.805655141767,13436.894372102977,2234.988277215586,492.0395607017291
120.33426183844011,900.5751269716618,977.0802367644011,-6952.2871330134185,13941.52122543118,12316.471572929022,5807.5163661463985,7372.165882484487,12250.34632875213,12970.025354105393,10998.802896206958,13466.710892341784,2195.8917486090468,519.3764531914624
130.36211699164346,975.1631385454943,975.6925221317617,-6942.413030333027,13938.576759984859,12306.438864331165,5736.268451122241,7461.1689959757505,12306.224645068,12916.497538003467,11085.814914694822,13495.186734201883,2158.87778464937,550.1128013329651
140.38997214484678,1049.640927622039,974.194525165712,-6931.754228076573,13934.989441184884,12296.29640479018,5665.475885415149,7550.080546963025,12360.887770092364,12861.586688017793,11171.825848268512,13522.317532722162,2124.072415297723,583.6991089140356
150.41782729805013,1124.00007599148,972.5864151845534,-6920.311931006373,13930.760394957684,12286.048513688593,5595.188563342398,7638.864236374281,12414.327203367058,12805.300000142981,11256.820200232058,13548.099138083418,2091.602011877974,619.6582528583118
160.44568245125348,1198.2321788539393,970.8683739526399,-6908.087432443009,13925.890949597484,12275.699565958199,5525.4581466910195,7727.485022667613,12466.534674089831,12747.64486836842,11340.782829134167,13572.527614859075,2061.591915843994,657.5862168120735
170.47353760445682,1272.3288457694644,969.0405956598337,-6895.082114119144,13920.382635820115,12265.253990581208,5456.338113366696,7815.909061551033,12517.502138909837,12688.628885428689,11423.698939035066,13595.599241317936,2034.1648726445324,697.1460355225369
180.50139275766017,1346.2817016064012,967.1032868995546,-6881.2974460233445,13914.237186824434,12254.716269055738,5387.883802186183,7904.103648798192,12567.221779856836,12628.25984362185,11505.554070392413,13617.310508776698,2009.439291972906,738.0589458322249
190.5292479108635,1420.082387488036,965.0566666454298,-6866.734986233926,13907.456538361133,12244.090933825533,5320.152452716253,7992.037166058549,12615.686002396284,12566.545735700618,11586.334091525394,13637.658120999991,1987.5273699634972,780.0950734388151
200.55710306406684,1493.7225617373958,962.900966226543,-6851.396380742849,13900.042828808597,12233.382566673692,5253.203238914819,8079.679029552684,12662.88743360289,12503.494755842345,11666.025190619024,13656.638993645978,1968.5331238826745,823.0648157144691
210.58495821727018,1567.193900820101,960.6364293012879,-6835.283363269667,13891.998399255512,12222.595797080281,5187.097295173803,8166.999641538514,12708.81892044584,12439.115300703581,11744.613868233266,13674.250253755585,1952.5504041865108,866.8113779200439
220.61281337047353,1640.488100285182,958.2633118298264,-6818.397755065569,13883.325793589891,12211.735300543758,5121.89773320001,8253.970344431145,12753.473528179109,12373.415970565908,11822.086930284087,13690.489239283677,1939.6609608049678,911.2045451669575
230.64066852367688,1713.596875703724,955.7818820451586,-6800.741464707521,13874.02775859405,12200.80579686604,5057.6696480030405,8340.563377457864,12796.844538830861,12306.405570579831,11898.431481465828,13705.353498670574,1929.9326483695777,956.1355970964819
